,cid,podcaster_id,title,episode_count,sub_count,primary_cid,name
2692,3029192,18973076.0,پادکست روایت فتح,6,67,,پادکست روایت فتح
3082,2798670,18412561.0,مهاجرت با کوشا,6,67,,Kousha Group
1966,3407501,19935577.0,پادکست چیچینی | chichini podcast,10,67,,چیچینی
310,2703121,12819871.0,Memaran Solh | پادکست معماران صلح,189,67,,PersianBMS
193,3659039,24170316.0,صدانت,323,66,3732200.0,3danet
3360,2731305,18134865.0,مثلث برمودا,6,66,,majid yavari ramsheh
3896,3353903,19370147.0,Daalicast دالی کست,4,66,,Daalicast
1674,2691625,17892758.0,عشق روزهای کرونا,7,66,,Mostafa Rabie Beheshti
365,4785076,24779825.0,ایران ۱۴۰۰ Iran 1400,14,66,,Radio Iran International
3435,2451879,16314412.0,Wiki Witcher Persian,1,66,,Danial MK
1152,2966974,15848270.0,PING پینگ,6,66,,KAMRAN HEIDARI
3255,2223740,14779151.0,پادکست سینمایی و موسیقی متن  سینوا,3,66,,ariamovie
3677,5540950,20297060.0,Masto,12,66,,MastoPodcast
568,3739127,21006779.0,Iranian Cinema History تاريخچه سينما در ايران,5,66,,Root User
1592,3324934,19693293.0,داکو | dako,29,66,4087675.0,آرمان اخلاص پور
603,4007545,17380199.0,دورۀ شاگردسازی,771,66,,Radio Mojdeh
2035,4104756,22014144.0,پادکست فارسی ورزشی توپ,8,66,,Toop Podcast | پادکست فارسی ورزشی توپ
3431,2157472,9960586.0,علی آبائی آکادمی,14,65,,Ali Abaee
4309,4657403,23863622.0,"NoteCast | نوت‌کست
(پادکست فارسی خلاصه کتاب)",1,65,,Note Cast
3114,2917655,13543817.0,BWF Coach Education-پادکست فارسی,7,65,,Ali Dashtani
3389,2752240,18235285.0,کافه قصه,9,65,,Niloofar Moradi
3972,3480960,9031295.0,maanacenter| معنا,1,65,,maana center
4038,4917763,23840544.0,قهوه به زبان ساده,2,65,,ali alavi
1135,4178475,21942032.0,آموژکست,11,65,,Amouj Academy
2068,5673074,35930925.0,MASU PODCAST | ماسو پادکست,3,65,,masu podcast
1030,4856266,25226856.0,اوســَـــنه,26,65,,Owsaneh
3742,4166230,22217481.0,بدون مرز,13,65,,Moein danesh ara
1322,5650769,34959030.0,به توان قهوه,4,64,,Betavaneghahve Betavaneghahve
3398,2181941,14305610.0,رادیو سفیر,6,64,,Safir Sayee
724,5176101,26977834.0,شاه کلید با سعید حسن آبادی,7,64,,saeed Hasanabadi
2976,2522059,15395194.0,رادیو تجربه,8,64,,ali montazer
2448,3918509,19936173.0,Radio satr-رادیو سطر,13,64,,Samaneh Jamshidi
3465,2420707,8570050.0,Deep Speech,4,64,,Hamed Zaghaghi
3836,3123568,10099650.0,اهنگ شمالی,32,64,,اسداله شهبازی
3920,3319821,19684106.0,The Motivaniac People,17,64,,The Motivaniac People
1633,3658617,20729231.0,رادیو قدم radio qadam,27,64,,Narges
2864,2856932,18590970.0,efarhang.ir,11,64,,ایوان فرهنگ
2854,2692125,17897516.0,رادیو خرد,4,64,,راديو خرد / Radio Kherad
38,5229933,27379575.0,هوماک,39,64,,Hoomak
2250,3703097,20844593.0,سمفونی هنر | Art's Symphony,2,63,,Marzieh Alemi
2467,4658729,20846858.0,pishe_podcast پادکست پیشه,3,63,,Javad Kasmaei
3686,4500498,20478261.0,به نام زندگی,5,63,,Amir Zarqam
1205,5026180,17800903.0,SumCast - سام کست,22,63,,Sumcast
1133,4671639,23867372.0,Uritmy,3,63,,Ardaena Network
2643,3525994,20291324.0,پادکست بی پایان,4,63,,emad jv
3478,2217079,14838041.0,Radio Paradox,22,63,,RadioParadox
4281,5681807,18433525.0,پادکست ایهام,1,63,,Mostafa Alizadeh
3207,2367777,12096392.0,حماسه‌ای برای آزادی بیان از اسارت رسانه‌ها,1,63,,Mohammad Javad Zamani
188,2205790,6954138.0,Saferoom Podcast - پادکست فارسی اتاق امن,1,62,,Arya Bakhsheshi
3703,3441425,19173529.0,پادکست پلیس,8,62,,Arash Maghsoudy
1173,4843693,25165523.0,تکینگی | Singularity,6,62,,Hesam M.Salehi
2992,2503577,16711879.0,BA Podcast,8,62,,Pouya Parhami
1334,4897395,21770743.0,پادكست فارسي يار دبستاني,0,62,5494142.0,unes shojaei
2605,2417573,7644925.0,پادکست فلودو Flowdo,4,62,,Mohammad Esmaeilpour
941,2452890,9286388.0,مِحسن,12,62,,Mehsen 🎙
944,4706690,24205510.0,رادیو مکیالیسم,12,62,,Radio Mecialism
3880,3456599,19924525.0,رادیو آبان,1,62,,Aban.Radio
1799,4646045,23784720.0,Voice Of Biotech,2,62,,Voice Of Biotech
1907,5021860,21077678.0,بادگیر | Badgir,3,62,,salar sanjari
1513,5279603,27739394.0,locomo.tips پادکست لوکوموتیو,13,62,,Loco Motive
1780,2724787,18104812.0,رادیو ایران ۲۰,121,61,,radio iran20
1029,4557420,22838509.0,Radio Avan Psychology,5,61,,alireza tamizi
2156,4143201,20303602.0,پادکست حصیر,14,61,,نامیرا
2072,4784230,22194467.0,پادکست دانشجو,3,61,,momtazbikaran
3957,3311024,19642918.0,پلی فونی,2,61,,artist sho
2831,2857131,18591920.0,درمانکده: مصاحبه با پزشکان,5,61,,درمانکده، سرویس نوبت‌دهی آنلاین
816,3931357,21635810.0,تراژدی آموزش,1,61,,Tragedy of education
4106,4936792,16756550.0,مادرانه,1,60,5075450.0,حسین مددزاده
1476,4904620,20419251.0,P.T.'s Monologues,37,60,,P. T. Tabayi
475,4730358,23795030.0,مستر ملک,15,60,,mester melk
2451,4736078,24444332.0,پادکست بورس باز,35,60,,mehdi norouzi
3366,2593216,8234912.0,رادیو باهم بخوانیم,9,60,,Maryam Pirmoradian
4056,4990876,25891122.0,توکا کست,4,60,,Morteza Pourmirzai
801,4612966,23584912.0,رادیو گراف هینت,14,60,,رادیو گراف هینت
2886,2700653,17947366.0,پادکست فارسی آغازگر باشید,3,60,,Rozita Moradi
2578,2703160,17968011.0,Radio.Sarang,4,60,,Mehdi Habibiyan
4266,5602424,32773994.0,gerdgoft,8,60,,GerdGoft
3947,3183432,19339037.0,5 Min with Mahiii - پنج دقیقه با ماهی,4,60,,ماهی (خانم خونه)
3552,2876318,18624472.0,آموزش حقوق کسب و کار,2,59,,Fatemeh Rezghi
3355,4498563,12189116.0,رومیز,15,59,4568677.0,Roomiz Games
847,4705048,16289396.0,پادکست رادیکال,1,59,,Nader Nourbakhsh
1542,3608760,19623253.0,Mostatil | پادکست مستطیل,3,59,,mostatil podcast
3839,3387738,19873192.0,Porchooneh,551,59,,Behrouz Pakshir
1700,3074547,15165014.0,Audioist ادیوئیست,2,59,,Alireza Kianni
1559,5641512,28951200.0,Iranian True Crimes,9,59,,Ali Kiyani
1538,4567888,20099912.0,بازار سرمایه ، بورس,33,59,,pejman sarkheyl
3711,4849990,15539124.0,دانای کل,2,58,,فرید دانش‌فر
2491,5218819,27293731.0,حجت الاسلام قنبریان | MGhanbarian_ir,232,58,,حجت الاسلام قنبریان
1870,4893370,25314421.0,تدبر در قرآن,88,58,,علی صبوحی طسوجی
2267,4435893,21685982.0,ردیو - پادکست کانون هواداران منچستریونایتد,13,58,3993172.0,Manutd. Ir
4025,4830406,23521985.0,تاریخ شفاهی جنگ تحمیلی,1,58,,Radan Mohseni
3549,2843965,18548514.0,دادوری واخف,5,58,,Hamid Khalafi
1931,5462757,10327896.0,پادکست دوتامیم,4,58,,Dotamim
885,4606072,23547097.0,رادیو تراش,6,58,5394280.0,Radio Tarash
1693,5100078,25714992.0,زندگی فارسی,24,58,,امیر سلطان پور و محمد امین سلیمانی
3413,2096711,12466061.0,Animmania,2,58,,Omid Hariri
3100,2579961,10342051.0,Zagros Stories-داستان های حوالی زاگرس,32,57,,Ali Abdalvand
1147,4803125,25088315.0,کلاب کتابخوانی المیرا نکوپایان,35,57,,Elmiranekouclub
1825,5105286,22906308.0,کِی تی اِچ تـاک با خشایار طهماسبی | kTh Talk,19,56,,kTh Talk
1416,5665920,25794965.0,مـدیـتیشن/پـاکسازی چـاکراها,9,56,,ᵅˢᵐᵅ
2320,4922497,25515766.0,Billy Show,35,56,,Billy Ganji
1525,4642561,23762957.0,چگونه با مرگ عزیزانمان کنار بیاییم؟,1,56,,karoonmedia
569,3746213,21006779.0,Let's Read Books Together با هم کتاب بخوانیم,16,56,,Root User
1551,3478017,20160560.0,Prologue | پادکست پرولوگ,10,56,,Mohammad Farahzadi
281,2064131,12819871.0,پادکست نوروز ۱۳۹۸: ۱+۱۲ تصمیم جدید برای سال جدید,14,56,,PersianBMS
1034,4029695,21807520.0,SadeTalk/ پادکست ساده تاک,8,56,4364941.0,Sarah & Azade
961,3160696,19375136.0,سینما ساده,3,56,,Vahid Shahrokhi
3459,2457997,13918888.0,سئو ، بهینه سازی سایت,1,56,,MOHAMMAD REZA SAMIEI
1185,4021586,21742316.0,یک فنجان قهوه,10,56,,Talk the Talk
4034,4904404,25370469.0,Mactab,10,56,,Mactab
298,4649831,12819871.0,Eksire Marefat | پادکست اکسیر معرفت,127,55,,PersianBMS
1336,4888356,23816795.0,پادکست کارمون | karemun podcast,8,55,,Karemun | کارمون
2722,3050657,19022188.0,اوج عملکرد,11,55,,Ahmad Nouri
663,5311250,27722778.0,وی وای مدیا,51,55,,weewhy.media
1981,5389923,29584689.0,مجله گیاه‌خواری ایران,10,55,,Giyahkhari Magazine
460,2762927,18281615.0,Digicast | دیجی‌کست,14,55,,Danial Behzadi
3475,2398838,15836743.0,ناپروکست - Naprocast,1,54,,Napro Cast
864,5466199,28931757.0,Lil Stories | داستان کافه‌ها,11,54,,Ramin Azodi
2358,5441260,28607897.0,رادیو رد,4,54,,Radio Rad
1389,4204011,21703234.0,Eyn Podcast | پادکست فارسی عین,1,54,,Eyn Podcasts
4092,4655621,22715949.0,پادکست جوان,10,54,,The Joe Rogan Experience
3379,2755728,18249277.0,عشق و عرفان با شیوا خنیاگر /love and mysticism with shivakhonyagar,4,54,,shivakhonyagar
2716,2023720,11075359.0,روایت روان,6,54,,Peyman Abkhezr
1032,4777782,24565313.0,دل کتاب | DeleKetab,17,54,,Dele Ketab
3882,3032214,18978920.0,Khaneh Podcast Iran - خانه پادکست ایران,26,54,,Khaneh Podcastiran
1077,3279925,19572367.0,Gaahvareh,1,54,,Dr Maedeh Bazargan
2646,3590986,20893143.0,ای بی ای تاک با ستاره,7,54,,Setareh Moslemi
3166,2388790,15693654.0,گپ کست |  gapcast,9,54,,gapcast
2894,2952385,18800371.0,معرفی نمایشنامه,2,54,,peymanshirpoor
369,4785078,24779825.0,دختران نای و نغمه - Melody Girls,12,54,,Radio Iran International
3494,2410833,15960898.0,پادکست لیمبو,2,54,,Amir Jamshidi
1940,5007337,26270783.0,Active Observer | مشاهده‌گرِ فعال,14,53,,Active Observer
3421,2387023,15624702.0,اتاق خاکستری,4,53,,KhakestariShow
3269,2647579,14905263.0,igderi cast,66,53,,Saeed Egderi
1908,3797245,21077678.0,Havadar/هوادار,20,53,,salar sanjari
960,3611109,9695347.0,Semi-Late Show,3,53,,CA§H
711,4740627,23960725.0,Fairy Tales from Greater Iran قصه‌های شاه پریون,3,53,,Parham Haghighi
